Name,Cusine,Date,Quote,Detail Review,Rating
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed November 15, 2020 ",Pathetic,"I just visited Gujarat bhawan restaurant at 11 kautilya marg, new Delhi
It is run by Mohani caterers. 
The food was horrible. 
Tasteless. 
Cold. 
Nothing to say about Gujarati touch, expect dal was sweet to say it was Gujarati dal. I will certainly not recommend...it to anyone. 
It brings bad name to Gujarati food.More",2.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed January 13, 2020 ",Good One,Food was very nice and quantity was also apt. Plus the price did not disappoint as well. Enjoyed my time here.,5.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed September 8, 2019 ",Excellent ambience and food,"I absolutely loved the Gujarati food served at this canteen. Best part is food was hot, authentic and you have unlimited thali. Boy I just loved this deadly combination.

The place around the Gujarati restaurant is awesome due to embassies nearby, plus the restaurant also...is a/c with nice seating and it is quite well off for a canteen. They provide pure vegetarian meals in the form of unlimited thali - normal thali and a deluxe thai. 

They have  Fafda Jalebi etc too besides thali that you can get in. Dont forget to carry a govt valid id proof while vising here as you need to make an entry in the visitor register.More",5.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed June 6, 2019 ",Great Experience,The meal was great with authentic Gujarati thali. Love the atmosphere and the food. It is difficult to get such a nice meal out of the native place. Got the Gujrati experience out of Gujarat..! Love it,5.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed January 29, 2019 ",Nice Gujarati Thali!!,"Located in centre of the city.This place provides Gujarati Cusine.
This place serves Thali for lunch and dinner,though doesnot have authentic taste.
It serves the purpose!!",4.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed October 9, 2018 ",Gujarati Thali,"In Delhi, the best place where one could relish Gujarati dishes. Recently renovated it has a neat and clean dinning area. They serve pure vegetarian meals in the form of unlimited thali which includes a variety of items. Chhas, Khichdi, Kadhi, Dhokla, Fafda Jalebi is...just awesome. They have a good service.More",5.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed August 12, 2018 ",Wonderful ,"Very good restaurant, homely food, feeling like eating  in home, very reasonable priced, must visit for everyone",4.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed July 22, 2018 ",Standard gone down,This restaurant in chankyapuri was very good serving simple Gujarati food. They renovated the place sometime back and after that though the dinner area has become spacious the quality of food has gone down badly.The service standards has also come down it is very disappointing...to see this state.More,3.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed May 6, 2018 ",Basic gujarati cuisine,"We went on a Sunday evening so there was a waiting period of about 20 mins. Basically they serve unlimited thali two types, difference is one has sweet dish and one farsaan in addition to food. They serve one dal ine dry n one wet...veg kichidi dhokla roti, bajra roti etc. Prices are very reasonable . Please note this is not a fine dine place but a a little bit more than canteen . But worth one visit atleast. Dinner rs120 normal n rs 155 deluxe thaali.More",4.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed April 9, 2018 ",Thali was great and the staff were lovely. ,"What a lovely area this restaurant is in. Its great for anyone who wants to eat Gujarati food and has a very home like feel. 

Right in the diplomatic district it is nested away behind a big admin building. Very simple in its set up...and its layout but thats all you want. Its clean, Fantastic quality food and the staff super welcoming. 

The Thali has different sabji and the khadi and kitchadi was ace. As much Rotli as i wanted and the chaas and papad were just lovely. 

Would definitely come back. Felt like home away from home.More",4.00
