Name ,Cusine,Date,Quote,Review Detail,Rating
"HUNGER BITE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Chinese, Indian, Street Food","Reviewed December 21, 2019 ",Dinner,"Good vegetarian food ,staff services are excellent, good location, prices are affordable, chat with owner who also very nice guy",5
"HUNGER BITE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Chinese, Indian, Street Food","Reviewed September 11, 2019 ",Excellent food,"What a great discovery, where you least expect to find such simple but tasty authentic Indian and Nepali cuisine. We were in Nepal for 9 days and had 3 meals at Hunger Bite. The staff are very kind and friendly even though their English is...limited. We had Pau bhaji on all 3 occasions, that tells you how grear it was. The paneer chilli and mushroom chilli were both tasty as well. The staff recognized us from our initial visit and were extremely attentive to us during our meals. The owner even came by on our second visit to advise us on food items. Keep up the great work Hunger Bites. Wish you guys all the bestMore",5
"HUNGER BITE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Chinese, Indian, Street Food","Reviewed August 30, 2019 ",Resturant,"Best food, Khau saue best in taste, chle bhatura and pav bhaji yummy in taste, specialist in tandoori chai",5
"HUNGER BITE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Chinese, Indian, Street Food","Reviewed December 21, 2019 ",Dinner,"Good vegetarian food ,staff services are excellent, good location, prices are affordable, chat with owner who also very nice guy",5
"HUNGER BITE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Chinese, Indian, Street Food","Reviewed September 11, 2019 ",Excellent food,"What a great discovery, where you least expect to find such simple but tasty authentic Indian and Nepali cuisine. We were in Nepal for 9 days and had 3 meals at Hunger Bite. The staff are very kind and friendly even though their English is...limited. We had Pau bhaji on all 3 occasions, that tells you how grear it was. The paneer chilli and mushroom chilli were both tasty as well. The staff recognized us from our initial visit and were extremely attentive to us during our meals. The owner even came by on our second visit to advise us on food items. Keep up the great work Hunger Bites. Wish you guys all the bestMore",5
"HUNGER BITE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Chinese, Indian, Street Food","Reviewed August 30, 2019 ",Resturant,"Best food, Khau saue best in taste, chle bhatura and pav bhaji yummy in taste, specialist in tandoori chai",5
"MOMO PALACE, Kathmandu - Restaurant Reviews & Photos - Tripadvisor",,"Reviewed December 1, 2019 ",Love everything,"This is our 3rd time in Playacar Palace and we are amazed about the service.. in the front desks Lupita and Fabiola were very helpful with us. Ixchel  was our sales representative and We didn’t felt like Force to upgrade our Membership... But We did...it!!! 
On Momo restaurant We are attended by Miguel and Ivan our waiters and very attentive and helpful.. Mario at the tepanyaky grill was amazing with all His skills to do a very espectacular show!!! And Paola the Manager very attentive... thank youMore",5
"MOMO PALACE, Kathmandu - Restaurant Reviews & Photos - Tripadvisor",,"Reviewed January 15, 2019 ",nice resturant,It was my 3rd times to Momo palace. here taste of momo is very tasty.all staff ia very friendly and politely.,5
"MOMO PALACE, Kathmandu - Restaurant Reviews & Photos - Tripadvisor",,"Reviewed February 19, 2018 ",Momo,Testy momo in Kathmandu valley centre location good service not for waiting.I want com again if I hear.,5
"MOMO PALACE, Kathmandu - Restaurant Reviews & Photos - Tripadvisor",,"Reviewed January 20, 2016 ",testi momo,"This lies center of the kathmandu city, kantipath . so it's almost busy to eat momo .here is testy momo .",4
"MOMO PALACE, Kathmandu - Restaurant Reviews & Photos - Tripadvisor",,"Reviewed January 10, 2016 ",excellent service and.delicious momo love it.,excellent service and.delicious momo love it.i will tell to my friends to visit this momo place to eat.,1
"MOMO PALACE, Kathmandu - Restaurant Reviews & Photos - Tripadvisor",,"Reviewed December 9, 2015 ",5 Star Momo,Here we get 5 kind of momos. Place is very neat and clean. Their services to each peoples are very taking care.,5
"MOMO PALACE, Kathmandu - Restaurant Reviews & Photos - Tripadvisor",,"Reviewed October 25, 2015 ",Tasty Tasty,"until you start to gulp the first one, you may be confused what the floor made white dumplings are but your mouth is still watering even finishing the last one already. really delicious to eat with local tomato pickle & glass of wine.",5
"OCTAVE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed May 27, 2023 ",Amazing place in Durbarmarg!,"Beautiful place in the heart of Durbarmarg. I loved the Karaoke, Pool table and amazing view. Service was great. You must try the NON VEG platter. Me & my friends loved it. Must visit!",5
"OCTAVE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed January 3, 2023 ",Beautiful place,I must say Octave Durbarmarg is so beautiful! Best restaurant I've been to in Kathmandu. Must try their Korean food & Japanese food. Nepali snacks like sukuti sadeko is out of this world. Delicious food menu. It's a great place to hang out with friends...and family! Loved it!More,5
